k_sum,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
18,-168,13,846,-93,-268,844,392,869,977,-718,181,-168,-892,17,-307,-38,-628,-508,-4,700,-328,287,86,-432,-428,111,-131,-210,-141,-880,671,514,362,-1479,1028,756,-427,1084,-233,-710,1249,-71,43,-303,566,115,235,125,1524,-16,-69,2,711,64,-325,-836,172,688,631,-478,77,-519,-460,-189
19,649,-8,-299,30,77,1170,-44,719,-293,-280,-583,-474,-850,-149,95,12,129,896,-69,62,282,696,-114,-89,-338,86,-383,-1672,84,83,-263,-227,-299,3023,702,-458,-583,-602,1099,-110,-203,-403,10,-463,-528,269,-335,-226,1625,-103,-331,16,159,362,-269,404,-396,188,-2922,170,-182,272,670,202
20,-433,242,-547,-178,83,1350,-102,152,-43,616,121,786,-81,38,-245,-156,312,-240,-43,657,159,-77,187,-434,-1097,197,-128,1457,-73,-109,-335,738,415,-679,-614,-898,144,-1058,-1273,-315,146,1744,-199,49,-3448,29,-164,268,-1429,-323,-166,-104,-2577,-158,-200,-1000,661,-536,2636,988,-33,-347,1106,-152
21,-548,39,-207,265,-208,-968,64,-363,549,-518,503,-326,-494,96,320,402,-167,-554,-345,151,-1629,877,-79,131,429,-247,162,-1266,34,-532,8,52,-145,-2085,-994,426,411,1212,56,-642,-54,-3633,275,261,2074,-51,59,70,2667,173,452,119,-473,-776,462,802,-362,280,-323,-1186,299,-71,-622,-30
22,-963,93,-1437,88,-286,1152,459,422,1028,-1308,-186,-952,-720,-70,15,-207,-683,958,-57,645,-249,61,-116,389,191,-82,-122,-617,163,-628,-20,396,73,-1403,388,-322,18,1302,-70,263,27,-1792,83,640,464,-76,-138,-130,-304,-206,185,-183,2019,-98,134,862,239,1296,272,-291,240,-20,682,18
23,-311,313,-1758,-36,-122,-150,-163,148,293,-356,435,-1432,758,98,173,22,-378,2000,-116,18,15,489,-47,-139,-1090,-214,-310,1098,35,328,-199,567,203,1172,378,1778,52,104,-306,169,664,514,329,785,536,-104,57,1,1216,57,242,-149,1350,-380,-90,-338,342,980,1748,1449,345,-87,1697,240
24,-670,136,620,-76,-298,-18,-80,352,667,504,315,170,97,68,-184,1,-116,54,142,450,-1135,772,-19,-449,-37,-49,-266,2989,-61,-245,-79,23,250,-334,-2180,-268,-162,-2448,1252,-275,-591,720,556,-1153,930,-62,-639,-71,-1430,-38,2,-87,324,1334,117,998,-83,1142,-392,85,31,-174,774,-86
25,753,-176,586,145,-86,-156,-111,165,802,762,269,120,357,188,-121,-97,-235,-660,-143,-227,-200,122,164,-367,-1674,88,214,530,-77,196,-47,815,369,499,1150,26,49,300,-658,58,-717,835,-541,-922,-1596,-185,-246,37,-2002,-218,-501,27,-90,-520,-253,-150,1304,916,1674,332,-130,-77,1013,-157
26,-43,-4,-1858,394,114,434,-198,153,917,-244,-54,-1354,158,-65,-31,-519,-790,-1346,180,587,-366,-805,364,-65,226,76,351,476,-156,-524,-53,-185,-915,-1443,292,308,490,-330,-937,443,-1140,-585,55,-16,-36,36,207,-222,-1197,55,233,123,535,-1156,123,1588,496,1724,-1454,-218,123,23,378,250
27,266,344,345,-5,-62,-476,299,293,138,402,155,378,63,45,-109,277,611,-2,245,-1,-326,764,-25,-10,1525,-15,5,-1293,64,-106,-604,-119,200,-491,-1082,-26,-774,260,-159,-1014,964,1230,441,-1131,384,-52,-812,-34,1050,164,160,-346,-882,1256,13,1572,-695,-278,-677,1147,-239,-229,1774,-113
