v_sum,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
46,-53,-103,-2572,-366,-84,2456,-489,-79,-10,374,127,-732,132,-74,18,-131,-368,-2018,121,340,-849,-1218,181,35,575,87,-318,1097,-228,-847,-18,-68,362,-1011,28,-488,-23,-378,584,-360,-557,-27,-429,1170,1782,29,9,29,1317,135,-95,-80,799,272,-178,-274,-378,-734,489,-487,322,36,-1511,62
47,37,-40,-782,-215,-157,-892,-529,-336,-135,548,11,-898,-1125,164,249,157,322,238,-117,150,-290,-71,72,-324,-668,47,115,-1579,21,138,81,34,-44,1321,-384,252,-534,-908,690,-76,-1134,-1069,-103,595,214,-84,75,8,1107,45,-113,33,945,-630,-295,346,927,-2200,1752,1491,-100,99,181,-67
48,7,54,-2579,170,-128,764,-188,-624,266,328,218,542,-1421,177,-38,96,-1193,-646,-68,502,-287,-291,27,-250,-349,-68,-52,220,-145,336,-214,-422,-96,-1100,-950,-724,437,-920,-193,-757,-1316,1026,-109,438,56,-48,-278,80,-1382,-324,146,-70,-2234,-1932,374,1018,-172,732,2301,-283,84,-51,-1282,-255
49,201,88,1577,32,179,-628,-65,-231,317,-1298,-178,-30,580,120,212,151,-164,500,110,-357,-238,538,-19,-71,-1521,251,155,1228,24,-383,88,-713,-243,2266,-1038,-408,248,-530,-149,615,-397,-730,-435,124,1906,-138,-189,-350,-878,302,95,135,931,-592,-72,202,-424,-368,4104,-464,6,153,1149,-142
50,-353,-64,-1052,-233,-63,-362,-518,173,1062,1172,39,400,-73,123,208,313,-118,648,69,440,-1033,505,135,-259,-1046,215,70,205,4,-1729,-574,-45,-284,-3,26,510,49,-728,1038,74,-85,-74,258,-43,722,-112,-226,168,-1038,45,-37,-237,597,-828,-23,370,838,516,821,1411,-97,128,1489,41
51,429,167,-2228,-62,223,654,62,-372,-334,862,-308,-638,-1523,-28,-372,57,-416,246,102,477,46,337,33,74,-67,12,-42,-2396,-223,148,-66,-865,-299,-242,-502,1418,330,896,176,-250,-670,-1579,499,399,442,-39,133,37,2211,37,137,-208,-448,-770,242,1182,-802,-1430,-2175,464,41,-332,-328,-78
52,113,-109,1508,-307,2,-872,315,532,-165,638,45,-432,-513,-60,139,-6,11,-1370,164,-328,-199,224,-106,6,148,36,-460,-393,175,51,-379,-113,429,-621,-1052,336,37,1662,533,82,907,1778,34,205,-1068,56,-107,88,2311,67,-197,-61,358,-66,-205,950,483,-2234,416,-893,-79,-85,-541,139
53,367,15,-1742,277,-52,466,-512,166,-273,-1014,-157,-342,-366,10,87,120,684,2158,99,281,-354,135,-482,-206,-956,-59,71,528,42,-21,164,-552,88,-709,1982,-1282,24,-418,748,241,672,-468,-27,-152,918,-7,65,-81,-1945,39,-25,241,1853,596,2,1728,801,814,-1087,300,-283,40,2281,188
54,355,76,-416,39,-63,364,234,-140,-1103,-1388,227,-770,550,-175,-210,217,315,994,-113,-238,1004,167,-470,-11,405,-127,-7,-1912,-71,-772,-361,734,132,1056,-392,-354,36,2082,-391,-223,549,-78,564,1528,602,-93,-204,49,-120,28,39,15,170,-204,85,-576,-1632,1028,-549,630,74,189,533,-104
55,-71,125,-631,-194,39,-1836,-51,-832,-618,-1268,-229,-1074,-507,-27,-107,360,875,308,-145,-981,-369,190,56,101,-416,-135,449,-1992,220,-56,-239,-747,32,-989,-552,-230,-240,496,-1259,-32,57,-65,455,210,1344,90,-141,-1,2209,285,226,-70,-1129,146,257,-114,-980,-1058,-229,-24,242,-125,-1446,-117
56,-28,159,-1020,-80,95,766,-20,-415,-583,-1278,-92,-1946,440,125,-221,211,415,936,88,-662,582,-80,76,145,-1423,16,462,-1783,-203,-1288,-34,-249,159,204,898,306,-70,228,-1026,-600,96,1111,-300,489,-1782,224,65,-98,-1409,91,465,242,-371,328,136,-1304,-321,-300,573,-252,251,215,-2137,-68
57,-612,-236,-900,-260,-252,1384,-193,103,-514,80,149,-172,204,-40,290,43,191,1782,-153,86,-461,-149,38,531,247,-59,-552,1216,286,-860,-316,895,388,1663,1124,-742,145,-76,949,338,1300,-2286,199,-266,-934,73,483,174,-675,126,-132,197,1845,1260,-271,-778,567,-838,1698,-112,199,14,1188,249
58,149,-177,2644,-355,-6,-1206,583,187,-340,-1936,-85,-490,-94,65,109,233,-494,600,-164,-386,40,420,-371,-46,-108,-252,-110,-911,322,-467,265,-226,41,3303,-46,2072,37,356,823,-488,921,-1071,303,-352,290,-115,196,104,2037,-113,-332,143,1640,-278,-428,-1844,-718,-580,-202,-232,9,517,332,-82
59,272,-2,-2358,163,113,1448,-332,-457,119,2270,-72,-690,-982,118,-258,-110,291,-1594,198,-52,506,-347,259,-10,-858,165,-264,-411,-45,-164,333,434,213,225,-252,-2,187,-906,-199,147,6,-58,-462,333,-1382,100,-136,-52,-835,-196,-47,-96,-281,432,-2,1730,959,-1006,624,468,206,-67,983,6
60,474,-69,-62,172,-50,-900,-403,255,976,-958,389,-754,-345,88,373,-171,-771,876,65,-155,218,-267,-27,-18,-966,-132,-784,260,65,1560,-118,287,223,-732,428,152,382,188,735,102,-60,1168,-1,-43,442,-138,17,41,-384,15,-35,-96,827,264,-33,910,35,1106,-278,332,-183,-41,-420,-83
61,651,-103,301,233,160,-832,-606,173,653,-42,422,-694,697,235,355,-44,264,-1062,31,-331,157,236,446,-369,-3055,93,-90,-129,-115,-758,-75,702,126,-272,736,718,194,-686,-667,614,-386,693,-30,167,-530,-23,187,-248,-2227,-115,0,377,-1558,-766,-258,518,-447,334,63,450,187,-268,466,44
62,43,68,1091,90,-183,462,603,141,-43,104,99,-1012,1530,30,-117,-245,449,712,-24,-915,162,269,-98,-228,228,-52,335,-1275,-2,-1311,27,625,236,-2071,-238,760,-288,-120,-714,346,277,155,-148,-210,-262,128,-67,-275,-473,51,-145,-52,-1861,922,45,-512,5,-292,-1264,400,-33,7,-22,-21
63,-26,-78,2225,3,-98,-844,35,545,-540,714,320,104,760,-1,81,317,-336,2620,-179,-235,531,327,318,-60,-564,0,-399,974,24,752,-61,255,363,242,822,-794,-1037,-1290,-14,96,649,3556,460,-559,-414,166,505,85,683,-113,-317,70,-883,760,-169,-656,538,-600,-48,-355,245,-414,-1408,56
,
