q_sum,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
43,-603,229,-1924,-84,-81,558,665,-979,445,-1000,-102,-82,210,-95,121,-360,393,-802,264,58,-955,-266,361,285,1386,-109,881,-37,-130,-2098,-442,9,-40,-2186,-2190,-200,340,-38,-1457,166,-689,-1476,480,455,670,54,-651,-229,-843,362,205,29,-826,-30,92,424,-1754,330,-734,-739,211,-67,-1053,-52
44,-356,122,696,-92,-120,188,-84,51,-12,-660,-300,-512,72,-61,188,-609,-96,274,-98,87,-506,-1076,66,126,886,-16,76,80,-160,732,98,-553,-408,-438,804,2066,285,-310,721,514,-1598,-2492,-1025,300,-434,126,-84,-98,-600,262,-96,43,-573,-1690,-44,-374,171,-1002,-241,114,-283,312,-2504,76
45,195,-281,-1123,128,130,-106,247,-161,566,1402,158,344,901,104,-29,56,66,-3104,119,16,788,-608,37,199,-944,148,27,766,58,230,170,342,-147,-294,250,-974,444,1386,-2316,359,-256,1585,20,-37,186,16,-119,175,-805,-561,-82,-87,-339,-1278,177,784,-217,608,833,-149,290,76,-1915,278
46,279,-138,-1070,94,98,1182,419,-339,1332,364,303,-660,-1087,114,-373,-56,-479,-1178,161,465,1457,-140,-79,-142,-1763,62,-411,57,-179,279,631,841,723,-778,622,874,65,908,-1236,-107,1309,-15,-736,-430,-1734,-71,-222,-70,727,-104,-99,-349,512,298,-327,150,1027,700,3241,824,71,-349,863,-170
47,-205,18,-1044,-188,187,-30,78,-281,-597,-964,10,20,-365,-34,-4,22,94,-1854,-21,-784,-354,-72,13,142,408,-136,-26,-1117,160,233,-203,238,130,-510,-866,430,630,352,-1732,323,-408,-3108,-439,820,326,-117,85,20,320,341,169,95,872,362,-265,-832,-1079,-974,792,-33,287,-125,-79,67
48,1422,115,-2147,61,120,1354,-543,71,489,-620,293,1120,-1185,74,77,-223,221,674,249,-56,597,-628,89,59,-141,-43,-665,1311,-28,449,529,-315,-301,700,908,316,-22,-960,1133,325,716,-1282,135,-489,998,74,52,-103,987,29,152,-216,-35,444,-344,1938,950,-1140,494,632,173,147,281,-70
49,15,-46,552,148,42,-892,-29,-49,393,-896,6,-1436,-123,-104,23,-41,-225,760,-13,-380,203,587,68,-40,365,-156,-326,-1167,222,-285,-256,39,-644,229,-600,1946,-346,-64,-303,630,360,-2056,-68,-575,706,-78,426,-152,-941,372,503,-255,-453,260,-79,714,754,1246,-2540,612,-6,-179,1640,1
50,298,-401,-617,-102,77,32,80,327,195,1222,278,-82,-959,101,-7,412,239,-32,-157,511,1169,375,-38,-244,-2104,148,-399,-1218,1,360,-86,771,-204,265,422,274,-334,154,-14,327,539,-250,-243,361,242,-29,70,20,-802,-111,-231,-234,1556,-206,-151,-490,388,674,931,64,197,-114,656,13
51,-340,-48,437,119,-98,156,936,-445,296,610,24,1404,-355,5,-66,-391,-127,1402,256,451,-1207,688,47,115,1451,-239,515,1744,-161,-1214,-477,-338,491,-1121,-1336,454,672,-138,90,250,-738,-1082,-364,698,950,10,-2,34,-209,386,-105,-79,345,420,188,-102,240,496,409,-914,-147,-308,-201,-114
52,-140,-50,-236,-216,39,-688,468,-247,305,-800,-314,-290,-88,-118,-43,-496,294,1916,-86,-12,680,-411,70,108,13,92,273,-378,-81,-172,52,-293,-904,247,1034,480,-397,-196,71,744,-493,-1480,-745,1790,1090,342,50,-92,313,255,-66,-166,990,-1124,-155,-1440,-402,-890,343,-700,198,54,-1984,107
